ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,0,0,34,0,-34
1,1,1,98,1409,1311
2,0,0,63,0,-63
3,0,0,124,0,-124
4,0,0,151,0,-151
5,0,0,1,0,-1
6,0,0,102,0,-102
7,0,0,13,0,-13
8,1,1,731,1620,889
9,1,0,143,0,-143
10,1,0,112,0,-112
11,0,0,143,0,-143
12,0,0,0,0,0
13,0,0,22,0,-22
14,1,1,220,1311,1091
15,0,0,28,0,-28
16,1,0,49,0,-49
17,0,0,168,0,-168
18,0,0,15,0,-15
19,1,0,28,0,-28
20,1,0,8,0,-8
21,1,1,207,1378,1171
22,0,0,73,0,-73
23,1,1,89,1953,1864
24,1,0,90,0,-90
25,0,0,48,0,-48
26,0,0,45,0,-45
27,1,0,32,0,-32
28,1,1,114,1253,1139
29,0,0,44,0,-44
30,1,1,268,1296,1028
31,1,0,6,0,-6
32,0,0,85,0,-85
33,1,0,13,0,-13
34,0,0,113,0,-113
35,1,0,171,0,-171
36,0,0,28,0,-28
37,1,0,2,0,-2
38,0,0,19,0,-19
39,0,0,139,0,-139
40,1,1,352,1722,1370
41,1,0,0,0,0
42,0,0,16,0,-16
43,0,0,51,0,-51
44,0,0,47,0,-47
45,1,0,17,0,-17
46,1,0,221,0,-221
47,1,1,115,1273,1158
48,0,0,22,0,-22
49,0,0,5,0,-5
50,1,1,962,1341,379
51,1,0,38,0,-38
52,1,0,36,0,-36
53,0,0,13,0,-13
54,0,0,0,0,0
55,0,0,129,0,-129
56,1,0,35,0,-35
57,0,0,12,0,-12
58,1,1,445,2141,1696
59,0,0,70,0,-70
60,0,0,48,0,-48
61,1,1,98,1478,1380
62,0,0,5,0,-5
63,1,1,799,1227,428
64,1,1,852,1224,372
65,1,1,799,1258,459
66,1,1,324,1491,1167
67,0,0,74,0,-74
68,0,0,91,0,-91
69,1,1,163,2420,2257
70,1,0,75,0,-75
71,1,0,24,0,-24
72,1,0,36,0,-36
73,1,1,557,2024,1467
74,1,0,6,0,-6
75,1,1,556,2378,1822
76,1,0,0,0,0
77,1,1,547,1284,737
78,1,1,398,2988,2590
79,0,0,15,0,-15
80,1,0,45,0,-45
81,1,1,386,1418,1032
82,0,0,12,0,-12
83,1,1,434,3348,2914
84,0,0,48,0,-48
85,1,1,280,2172,1892
86,1,0,102,0,-102
87,0,0,24,0,-24
88,0,0,63,0,-63
89,1,0,255,0,-255
90,0,0,7,0,-7
91,0,0,89,0,-89
92,1,1,41,1469,1428
93,1,1,228,1520,1292
94,1,0,27,0,-27
95,0,0,10,0,-10
96,1,1,259,1237,978
97,0,0,116,0,-116
98,1,0,39,0,-39
99,1,1,1695,1275,-420
100,1,1,2002,1692,-310
101,0,0,38,0,-38
102,1,1,806,1295,489
103,1,0,24,0,-24
104,1,1,215,1205,990
105,1,0,8,0,-8
106,1,1,338,1470,1132
107,0,0,90,0,-90
108,1,0,41,0,-41
109,0,0,11,0,-11
110,1,0,67,0,-67
111,1,0,2,0,-2
112,1,1,207,1264,1057
113,1,1,491,1234,743
114,1,0,108,0,-108
115,1,0,12,0,-12
116,1,0,20,0,-20
117,1,0,47,0,-47
118,0,0,215,0,-215
119,0,0,10,0,-10
120,1,0,9,0,-9
121,0,0,77,0,-77
122,1,0,39,0,-39
123,1,1,239,1516,1277
124,1,1,535,3687,3152
125,1,1,1405,1747,342
126,0,0,54,0,-54
127,0,0,107,0,-107
128,1,1,263,1300,1037
129,0,0,127,0,-127
130,1,0,10,0,-10
131,1,0,69,0,-69
132,1,0,17,0,-17
133,1,1,421,2167,1746
134,1,0,7,0,-7
135,0,0,2,0,-2
136,1,0,56,0,-56
137,1,1,265,1224,959
138,0,0,41,0,-41
139,0,0,36,0,-36
140,1,1,236,1573,1337
141,0,0,43,0,-43
142,1,0,38,0,-38
143,1,1,878,1211,333
144,1,1,365,1387,1022
145,1,1,311,1249,938
146,1,1,178,1932,1754
147,1,1,802,1758,956
148,1,0,5,0,-5
149,1,1,656,1205,549
150,0,0,20,0,-20
151,1,1,146,1615,1469
152,0,0,66,0,-66
153,1,0,161,0,-161
154,1,0,0,0,0
155,1,0,16,0,-16
156,1,0,14,0,-14
157,0,0,170,0,-170
158,1,1,785,2271,1486
159,0,0,98,0,-98
160,1,1,700,2183,1483
161,0,0,131,0,-131
162,0,0,26,0,-26
163,1,1,84,1331,1247
164,1,0,21,0,-21
165,1,0,13,0,-13
166,1,1,561,1343,782
167,1,0,78,0,-78
168,1,0,8,0,-8
169,1,1,1148,2900,1752
170,0,0,98,0,-98
171,1,0,2,0,-2
172,1,0,47,0,-47
173,0,0,133,0,-133
174,0,0,2,0,-2
175,1,1,1423,1202,-221
176,0,0,65,0,-65
177,1,0,80,0,-80
178,1,0,2,0,-2
179,1,0,24,0,-24
180,1,1,130,1311,1181
181,0,0,26,0,-26
182,0,0,29,0,-29
183,1,0,10,0,-10
184,0,0,80,0,-80
185,1,1,569,1413,844
186,1,0,61,0,-61
187,1,0,11,0,-11
188,1,0,13,0,-13
189,1,1,293,1209,916
190,1,1,82,2152,2070
191,0,0,18,0,-18
192,0,0,9,0,-9
193,1,0,62,0,-62
194,1,0,31,0,-31
195,1,0,23,0,-23
196,0,0,99,0,-99
197,0,0,42,0,-42
198,0,0,45,0,-45
199,1,0,38,0,-38
200,0,0,54,0,-54
201,0,0,68,0,-68
202,1,0,105,0,-105
203,1,0,20,0,-20
204,1,1,511,1585,1074
205,0,0,61,0,-61
206,0,0,42,0,-42
207,1,1,848,1425,577
208,0,0,43,0,-43
209,1,1,348,1628,1280
210,0,0,105,0,-105
211,0,0,64,0,-64
212,0,0,15,0,-15
213,1,1,726,1913,1187
214,1,0,42,0,-42
215,1,1,101,1501,1400
216,1,0,42,0,-42
217,1,0,39,0,-39
218,1,1,406,1700,1294
219,0,0,20,0,-20
220,1,0,18,0,-18
221,1,0,120,0,-120
222,1,0,36,0,-36
223,1,1,362,1371,1009
224,1,1,1237,1534,297
225,0,0,29,0,-29
226,0,0,23,0,-23
227,0,0,9,0,-9
228,0,0,6,0,-6
229,0,0,35,0,-35
230,1,0,46,0,-46
231,0,0,8,0,-8
232,1,1,1470,1250,-220
233,1,1,645,1416,771
234,1,0,13,0,-13
235,0,0,89,0,-89
236,1,0,104,0,-104
237,1,0,26,0,-26
238,1,0,71,0,-71
239,0,0,96,0,-96
240,0,0,17,0,-17
241,0,0,64,0,-64
242,1,1,191,1292,1101
243,0,0,65,0,-65
244,0,0,41,0,-41
245,0,0,30,0,-30
246,0,0,38,0,-38
247,0,0,55,0,-55
248,1,1,213,1899,1686
249,0,0,89,0,-89
250,1,0,22,0,-22
251,1,1,148,1455,1307
252,1,1,253,2139,1886
253,0,0,14,0,-14
254,1,0,8,0,-8
255,0,0,62,0,-62
256,1,0,27,0,-27
257,1,1,193,1300,1107
258,1,1,82,1438,1356
259,0,0,42,0,-42
260,1,1,271,2498,2227
261,1,1,373,1230,857
262,1,1,627,1429,802
263,0,0,28,0,-28
264,1,1,445,1818,1373
265,1,0,12,0,-12
266,1,0,173,0,-173
267,0,0,0,0,0
268,0,0,18,0,-18
269,1,1,2275,1247,-1028
270,0,0,0,0,0
271,0,0,47,0,-47
272,1,0,70,0,-70
273,0,0,9,0,-9
274,1,1,449,1277,828
275,1,1,1116,1239,123
276,1,0,1,0,-1
277,0,0,76,0,-76
