ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,38,43858.645628312086,0.07025721488220892,1,886,6010,3259,8383
1,56,22896.072419704484,0.11542901851123513,0,0,0,0,0
2,37,21317.04228763687,0.05619932713159139,1,410,17871,8424,25885
3,22,39303.91009879435,0.07006500238391317,1,1413,9507,3045,11139
4,75,25701.965623546836,0.08785926192436722,0,18,0,0,-18
5,25,25486.281737779314,0.019395226599534136,1,111,19341,1362,20592
6,65,41910.43030546709,0.0036425805855556485,1,626,15994,1355,16723
7,75,20053.564572591335,0.017028499791392,1,2088,5622,1416,4950
8,54,29420.586251555906,0.2612372192896807,1,424,6556,1383,7515
9,44,27862.4148138526,0.30963411625650505,0,25,0,0,-25
10,53,20052.574244153086,0.370083930504137,0,0,0,0,0
11,31,41075.93907861457,0.06235294460355446,1,325,11282,1407,12364
12,44,22441.097110178922,0.0217170524531929,1,499,14297,2071,15869
13,44,30053.123489635684,0.22429473694939528,0,15,0,0,-15
14,53,22571.398337676994,0.048813501720811794,1,30,36511,1882,38363
15,30,22272.03469470579,0.055509239297553616,1,822,8399,3665,11242
16,43,42582.846230539595,0.13588692272003625,1,504,7876,2934,10306
17,40,23275.11543690466,0.1197475006282397,1,606,7342,1652,8388
18,42,52063.51283770821,0.008035448361385585,1,196,6461,1954,8219
19,50,24608.917073476503,0.09422682296142496,0,46,0,0,-46
20,67,21410.38407005621,0.03179622414543945,1,287,8607,3536,11856
21,46,20220.11755495304,0.08150668624505648,1,2373,6141,1410,5178
22,38,30233.197688833683,0.1702308721519191,1,1383,11613,1465,11695
23,75,21304.757971317555,0.09243225870599264,1,89,5862,4108,9881
24,49,24724.031799254702,0.049232411946033394,0,41,0,0,-41
25,18,21486.643126879906,0.05168014739909531,1,235,16923,1639,18327
26,65,30517.219319442353,0.25944705048384353,0,3,0,0,-3
27,26,23820.41524414791,0.03897162147159144,1,50,28701,1430,30081
28,18,31601.94789000296,0.09063050292170773,1,322,5962,1341,6981
29,31,27122.023981680726,0.32035996804806405,1,900,17054,2570,18724
30,71,28218.83804251178,0.01756984393845208,1,549,7484,1515,8450
31,20,20197.746813472688,0.062459476204337595,1,651,5248,1496,6093
32,37,25360.468368483154,0.020600145434973318,1,367,9796,1836,11265
33,28,25290.84871972138,0.14713584887322295,1,82,9276,2590,11784
34,33,23861.47253078057,0.13951439492777026,1,381,5292,1569,6480
35,47,27790.513756891363,0.11169254210107284,1,228,16445,2048,18265
36,59,24202.79639494727,0.20165571108670197,1,401,5329,1650,6578
37,24,21902.820413565576,0.15715311739828294,1,251,6950,1699,8398
38,54,39577.137034819134,0.09035802743405046,1,615,8152,1545,9082
39,58,24966.101168635734,0.24646494289415985,1,263,6217,2457,8411
40,58,28912.050188123638,0.049317233050416326,1,64,7432,1355,8723
41,38,21300.54541176557,0.19513183009154478,0,31,0,0,-31
42,57,20553.035854883812,0.08904893513050995,1,126,11316,1392,12582
43,56,33013.20115512534,0.055988730825265294,1,480,9087,1578,10185
44,23,41835.44867633885,0.15379243070100085,1,128,7815,2186,9873
45,39,28256.388453356703,0.04929284792378086,1,898,5717,1393,6212
46,49,22336.74343478656,0.10651943583542861,1,479,15006,1446,15973
47,63,46811.02293416526,0.028711063380241684,1,1141,8358,2084,9301
48,61,24671.579844503805,0.025597856563377087,1,1137,5506,1822,6191
49,26,26822.13709739424,0.10066175109556366,1,108,6728,1371,7991
50,39,25534.499027223657,0.17472307607718146,1,150,6617,1365,7832
51,37,27895.85005879686,0.38045022385578214,1,390,9393,1475,10478
52,25,21937.8049575968,0.05713265032138862,0,68,0,0,-68
53,71,30700.954584900523,0.09527979321384156,1,2264,9263,1654,8653
54,41,24882.086572056895,0.00889026307729854,1,254,6207,1727,7680
55,19,28725.976917478376,0.008699832262650167,1,791,7117,1928,8254
56,65,23546.032630933943,0.01592407317463159,0,67,0,0,-67
57,70,22948.00964876895,0.5717091970609914,0,0,0,0,0
58,46,27561.649817665348,0.06220453285272482,1,225,7505,1340,8620
59,28,22402.19213905585,0.14763963673166233,0,93,0,0,-93
60,73,24181.867899124663,0.29491206241243095,0,23,0,0,-23
61,26,31726.01486065682,0.12507481361445982,1,520,7689,3585,10754
62,37,21488.775990417507,0.24602770337083052,0,165,0,0,-165
63,38,22084.729009623017,0.338650662331093,1,640,5985,1593,6938
64,25,21843.532295705885,0.09859955121519233,0,25,0,0,-25
65,27,51866.93426619774,0.13298436240796402,1,475,7197,2096,8818
66,23,98062.84629519087,0.11344920540674809,0,33,0,0,-33
67,55,24789.224764934337,0.1159839613797234,1,17,5985,1618,7586
68,44,22504.34233180993,0.045439824165211924,0,57,0,0,-57
69,65,24048.61633396715,0.14278551710998244,1,877,5806,9280,14209
70,58,21785.780537967035,0.06955756021760698,1,686,6729,2238,8281
71,21,20878.457653141522,0.4943565888557,0,32,0,0,-32
72,51,26978.701348036826,0.021116039709470142,1,383,8617,1411,9645
73,42,20437.013336426426,0.2821215815104496,1,355,5380,3154,8179
74,34,26967.355473177755,0.3317754570651507,1,242,17073,1476,18307
75,70,21358.169589071877,0.13304438174216313,0,29,0,0,-29
76,24,22931.312332695765,0.35928400579450454,1,260,7016,1683,8439
77,37,21406.656894116535,0.11033809949803627,1,434,9389,1423,10378
78,64,23929.852364120175,0.013381727322602557,1,268,5788,2042,7562
79,36,22404.4080512668,0.18059094744112353,1,63,8304,2353,10594
80,27,25029.572454107612,0.014146222936421758,1,281,7444,1804,8967
81,20,25736.16717162046,0.22027591160982118,1,231,28965,1589,30323
82,29,51558.45694151852,0.19052085343986636,0,54,0,0,-54
83,37,265330.62976181606,0.0972590346404982,1,1124,7088,1518,7482
84,27,34060.752180523974,0.04887151782518245,1,378,5658,3714,8994
85,31,24630.978937711454,0.0346562795159459,1,71,6131,1602,7662
86,52,23686.812599495173,0.27954721183673975,1,787,5270,2407,6890
87,59,23393.51382449166,0.24088659597299628,1,1146,5313,1929,6096
88,56,29929.53975046948,0.22856961804903975,1,828,12286,2383,13841
89,48,20075.729964592087,0.02809617326390659,0,14,0,0,-14
90,18,20014.47948705896,0.08325291511164554,1,417,5932,1462,6977
91,72,20324.134694028668,0.4470915626055344,1,1084,8040,1402,8358
92,31,21374.523440915797,0.18666411636992114,1,529,20241,2083,21795
93,22,51116.88878900498,0.02301130905355986,1,116,20121,2267,22272
94,52,23816.619015939006,0.013878099729295169,0,4,0,0,-4
95,31,20801.64469462389,0.09088468439664463,1,975,6099,1347,6471
96,28,27923.712771675044,0.06920972766542413,1,652,7648,1772,8768
97,69,22986.115524395344,0.0388122414242105,0,137,0,0,-137
98,34,20101.692856928585,0.011148030662647643,1,266,7101,1409,8244
99,32,24000.877003112822,0.012322140405230185,1,1446,5692,1942,6188
100,25,79838.36659993468,0.0488055478795366,0,7,0,0,-7
101,69,63920.13660202303,0.024683876184089983,0,6,0,0,-6
102,21,24781.29028648047,0.18946160533928824,1,321,5353,3418,8450
103,37,119205.78884455963,0.14970797311696876,1,379,33232,1535,34388
104,34,22606.649661191008,0.09836374658960262,1,344,24836,2400,26892
105,26,28792.59379928676,0.3712199701070516,0,73,0,0,-73
106,74,23920.27438649609,0.03625383913805415,1,116,11836,6522,18242
107,51,23606.86091035817,0.10588129056657516,0,24,0,0,-24
108,48,21637.707178143995,0.23381529806505877,1,217,5517,2424,7724
109,55,30504.390878165676,0.2948184440061275,0,76,0,0,-76
110,62,28282.138614624473,0.01338690816414285,1,483,6704,1651,7872
111,31,21932.64342647019,0.010261421414762873,1,191,7935,2188,9932
112,53,36757.28925561876,0.06988801284204874,1,829,7007,1417,7595
113,70,31631.55669560688,0.11738246233772685,1,145,9968,2451,12274
114,25,27367.733214560398,0.03444551438520518,1,867,15071,2627,16831
115,59,24277.893754394372,0.10398749856680489,0,131,0,0,-131
116,49,118370.31871848009,0.025174682050624078,1,89,6051,1348,7310
117,31,37807.69352586917,0.07824407113645399,1,716,7263,1457,8004
118,48,33691.42389861556,0.047969284219081615,1,931,6695,2110,7874
119,64,43370.942640459056,0.04639315648321407,1,413,5626,1634,6847
120,51,27486.43671555342,0.43797426942432194,1,110,7222,4404,11516
121,67,22719.963194871892,0.21680895779582357,1,375,7180,1447,8252
122,36,21611.290493917884,0.06655011065896481,0,80,0,0,-80
123,22,23015.61305623856,0.06240186451574978,1,873,13580,1374,14081
124,28,30057.726768761502,0.24663176044569618,1,850,10460,1662,11272
125,39,28059.14924103911,0.0669691589704046,1,121,7644,1489,9012
126,39,31044.712701914163,0.3745347695220859,1,63,20228,1888,22053
127,39,24372.73951357103,0.4060516589432583,0,17,0,0,-17
128,32,57702.22598581458,0.05165908866895951,1,1984,10808,1679,10503
129,46,65643.27646674463,0.06438707964069695,1,559,5362,1405,6208
130,41,42037.78654257904,0.22492296638720158,0,43,0,0,-43
131,20,35594.92206132969,0.09390939427517903,1,193,7394,1432,8633
132,29,22715.97312879105,0.0029536171451728732,1,910,5717,1528,6335
133,26,20873.410226301883,0.018261729879812342,1,1665,7990,1737,8062
134,31,24936.825698165372,0.08184525357998072,1,357,8875,1423,9941
135,32,59165.37178474864,0.031679355936746756,1,575,10567,1384,11376
136,68,32123.032327546316,0.08101900229995183,1,674,6283,1790,7399
137,61,21981.73760061492,0.21084338734000516,0,46,0,0,-46
138,33,21422.6928508105,0.1542087123344558,1,1887,7651,1440,7204
139,47,22553.18293652937,0.29201573735053926,1,97,13090,1774,14767
140,74,20195.05517417528,0.10151376574408649,0,5,0,0,-5
141,31,23244.34596493605,0.1159095346809642,0,128,0,0,-128
142,75,23608.50489930451,0.08358723194906037,1,509,9593,1973,11057
143,43,20741.114356687573,0.2969084930482257,1,808,6114,1920,7226
144,41,32251.426225501353,0.1773787526554921,1,1443,15804,3061,17422
145,39,72477.84580884188,0.00036407490087805036,1,645,5483,1388,6226
146,18,26735.74139924046,0.0706616761206941,0,42,0,0,-42
147,63,28465.493604370437,0.10771330102811784,1,299,5509,1421,6631
148,26,24819.127841941754,0.10376797297619601,0,96,0,0,-96
149,36,34436.768559122196,0.17247564304540275,1,246,7216,1448,8418
150,19,27002.06303665092,0.014763742314586176,1,356,5651,1374,6669
151,24,37718.61151984111,0.5898494300395473,1,432,14884,1442,15894
152,42,56619.35554200604,0.04415894904001604,1,552,8146,2059,9653
153,58,47670.60543930398,0.005583197758804955,1,895,6998,1356,7459
154,49,20529.084393706955,0.15011833683126147,1,147,11622,2411,13886
155,26,22304.473866380926,0.003179033903347127,1,274,19640,1426,20792
156,45,29337.52681750724,0.039949112479990743,1,1499,12927,1828,13256
157,40,21977.966718584936,0.20107246395620088,0,100,0,0,-100
158,19,21528.442430503226,0.012820361235861211,1,474,5463,1442,6431
159,37,20857.182065776404,0.04147136825462803,0,18,0,0,-18
160,30,30961.99727210155,0.3128154607145664,1,1430,7844,1417,7831
161,41,21523.277347803043,0.4943294238423318,0,37,0,0,-37
162,21,36976.93620138668,0.18761044103293806,1,147,5414,3017,8284
163,38,20918.144738141513,0.1240158437392079,0,6,0,0,-6
164,72,21381.780966529772,0.05511783164520906,1,132,7947,1351,9166
165,31,20074.095443899998,0.2646039711637674,0,85,0,0,-85
166,27,24778.173336852262,0.2794123815955245,1,991,7598,1926,8533
167,49,20893.94169305462,0.06185585729927354,1,1224,5313,1409,5498
168,60,30189.787989957596,0.2122248061272782,0,49,0,0,-49
169,18,22724.89176493842,0.19968602558462334,1,605,7106,2412,8913
170,28,20055.98334387972,0.019778126780951328,1,1001,9228,1351,9578
171,37,41159.82103630384,0.6298262432576142,1,26,6967,1906,8847
172,33,26364.64697349284,0.06268101233155846,1,820,11044,4195,14419
173,29,24683.225437639638,0.09020106065624506,1,431,7192,2651,9412
174,38,20825.11489327798,0.04118385661741206,1,216,10188,2416,12388
175,75,20175.82512462391,0.0844773263365161,1,520,7632,1510,8622
176,38,44317.85036150146,0.1320472506763903,1,705,10447,2656,12398
177,22,21886.922745603853,0.0894933970155242,1,101,13570,1683,15152
178,25,36902.83107303837,0.351872006903166,0,38,0,0,-38
179,35,22209.900793679557,0.006878365486834237,1,115,9649,1594,11128
180,44,30599.97139531871,0.09222042975081446,0,50,0,0,-50
181,55,26786.290859177596,0.08414140488217094,1,1692,11685,1691,11684
182,34,51068.90522958014,0.4307520856744459,0,19,0,0,-19
183,55,46229.35941534382,0.10365355630818729,1,206,7903,2164,9861
184,32,25469.242034095227,0.07426834491884707,1,669,9265,1390,9986
185,57,31693.092327647544,0.03141892159082531,1,232,10038,2555,12361
186,24,22306.9115757302,0.053822909164082326,0,1,0,0,-1
187,72,26088.491318929602,0.042275849181763844,1,218,9713,1444,10939
188,29,22270.420997241,0.12462267342059864,1,585,7574,1750,8739
189,26,21418.531237210813,0.15329210925588355,0,6,0,0,-6
190,54,21676.979051477974,0.09698352811054652,1,470,10740,1984,12254
191,27,20318.828556896726,0.05204725692417075,1,174,8029,1640,9495
192,20,20610.5852220904,0.25620624389822255,1,783,6260,1660,7137
193,68,38958.680847972195,0.029576814708726588,1,250,5974,2009,7733
194,40,32821.697298915315,0.07105132023588916,1,717,5394,2384,7061
195,27,20988.55861860023,0.1711218906210363,0,130,0,0,-130
196,33,38729.93888776965,0.04208977333001876,1,265,5497,1382,6614
197,19,22559.791418564757,0.1984648783633502,1,569,6860,2214,8505
198,25,52421.82779744721,0.09328109215762152,0,114,0,0,-114
199,19,25124.441602972824,0.282460127099704,0,0,0,0,0
200,42,27275.14336104394,0.28534885077630046,0,113,0,0,-113
201,32,41145.68216304717,0.20121977795953147,0,5,0,0,-5
202,61,21590.128119552606,0.021019522996812867,1,1048,5493,2047,6492
203,35,20965.969112251445,0.09874929421829609,1,130,8553,1703,10126
