ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,69,22473.68124409429,0.22670021528896456,1,2552,5752,2067,5267
1,40,30062.50215381796,0.09061517493318935,1,176,6313,1498,7635
2,72,22803.910151308675,0.11368725330782994,1,1308,21030,1744,21466
3,18,20904.20310157335,0.3883100961710832,0,49,0,0,-49
4,24,21042.70571925725,0.053402752925421314,1,673,8653,1755,9735
5,18,20150.277499401018,0.24561773835051975,1,1674,7931,1974,8231
6,33,35295.703913540354,0.0867921097970065,1,764,6872,2015,8123
7,46,22604.070461123232,0.05567838104490521,0,48,0,0,-48
8,45,48494.4671747581,0.1797112272215731,0,122,0,0,-122
9,32,23552.49395663991,0.03175541750422002,0,27,0,0,-27
10,55,20685.428160420703,0.23760585864527345,1,534,5313,2488,7267
11,32,21443.05479190431,0.13966923161169914,0,78,0,0,-78
12,56,20643.991805744445,0.10272324868934904,0,17,0,0,-17
13,69,20762.17222521528,0.11045385814236458,1,930,7399,3459,9928
14,59,23519.864914930782,0.556036568338636,0,37,0,0,-37
15,29,43263.86063815841,0.05592986092577939,0,162,0,0,-162
16,41,100841.01775668078,0.6273768685974835,0,13,0,0,-13
17,21,22483.657147477013,0.034881652980032436,1,1996,5781,2028,5813
18,43,22194.725089427517,0.2403088501828892,1,729,6346,4477,10094
19,52,27514.972759598924,0.2261045839134093,1,859,12528,1537,13206
20,19,26117.234497007972,0.06497449430642198,1,150,6896,1668,8414
21,30,24912.352098897332,0.07543457156404546,1,594,11653,2630,13689
22,69,34253.6793957456,0.07963026799217322,1,688,6119,1495,6926
23,50,22198.151434272422,0.05698924980407266,1,469,9947,1580,11058
24,18,33015.25093981436,0.20739806546566628,1,404,5600,1950,7146
25,31,31744.437947924303,0.2231088728066285,1,234,11232,2383,13381
26,39,25478.863298655833,0.07124062395216788,1,899,5539,2100,6740
27,42,23129.23986500796,0.13805837686515077,1,50,5293,2220,7463
28,18,31788.40222876511,0.12017757558622484,1,2631,6067,2315,5751
29,48,36531.31695300516,0.012056297841773929,1,1033,7442,1833,8242
30,20,29959.064186202355,0.23922682808753132,1,611,8891,1500,9780
31,30,20956.044081076212,0.04059853806500045,1,120,6442,1740,8062
32,22,25970.759739411216,0.03080746375902327,1,1152,6356,1934,7138
33,29,24876.62759341027,0.011958111181523024,1,526,12323,1688,13485
34,32,21383.835720795338,0.05694543587074941,1,539,13941,1628,15030
35,37,33374.371630560476,0.05521937802056058,1,270,6188,3327,9245
36,43,31958.22731280523,0.22715421217386472,0,29,0,0,-29
37,47,28466.49699156306,0.050619693583858136,1,105,10165,1870,11930
38,69,24423.368226728286,0.18190159120683053,1,140,5572,1470,6902
39,66,32678.582768783588,0.2493557260839626,1,275,10584,2705,13014
40,30,22992.13305163295,0.15565764763898912,1,339,5729,9263,14653
41,39,24122.16155745786,0.11604954645841342,1,796,8654,1626,9484
42,72,20146.684640964442,0.011386340867867625,1,62,11772,1448,13158
43,25,21187.51068827946,0.012431718381874768,1,258,5589,1954,7285
44,20,26947.683235619563,0.10420005197131949,1,183,6376,2681,8874
45,34,27709.584075332637,0.050581301447137246,0,8,0,0,-8
46,42,30963.276856466608,0.14959988654399659,1,45,11042,1542,12539
47,30,23472.804304059082,0.07274228849811884,1,965,5548,2646,7229
48,53,25165.19660744231,0.2005232560490963,1,103,9260,1936,11093
49,64,39052.074505976765,0.2770954881930671,0,5,0,0,-5
50,29,35219.832537772694,0.2240884658485283,0,51,0,0,-51
51,39,34425.200228776695,0.08500830404543677,1,461,7227,2970,9736
52,23,49319.55809610278,0.1831412935538148,0,29,0,0,-29
53,43,34773.973172466416,0.006752593129332533,1,225,5730,1632,7137
54,31,25577.812831104242,0.02663654546321984,1,451,7240,6274,13063
55,49,22695.00368232068,0.14651073542433543,1,113,5390,2669,7946
56,47,22088.328961064803,0.1565334755923009,1,1232,22479,1730,22977
57,45,22173.641217780976,0.2658662071329277,1,234,6541,1483,7790
58,23,21990.26387181283,0.01737434208542389,1,747,6398,2437,8088
59,23,45510.556989306526,0.19781086480076981,1,1467,8741,1626,8900
60,35,22261.223099510946,0.048678654006753586,0,72,0,0,-72
61,36,36097.2114471766,0.16507522404229252,1,110,6480,2144,8514
62,57,25747.35296271766,0.04242858094431163,1,384,9426,2580,11622
63,65,35290.29382548583,0.5460176183774164,0,4,0,0,-4
64,18,37013.57406081159,0.16390838172933078,1,486,14477,1839,15830
65,44,42424.958156368266,0.17659955606258285,0,83,0,0,-83
66,46,24461.671544834484,0.524805373270812,1,747,7815,1665,8733
67,63,23720.150164470127,0.08684132597089442,1,835,6044,1469,6678
68,42,37494.26738355959,0.1558091690906816,1,643,7975,2148,9480
69,62,25863.348324335617,0.03057489503295196,1,585,12040,1823,13278
70,50,62132.989783815276,0.09502557680386695,1,468,10081,3055,12668
71,73,27953.536930588532,0.05511575115783255,1,290,8499,1589,9798
72,53,21156.84621968728,0.06911275809627211,1,523,6049,1970,7496
73,22,20292.281527395116,0.07021352083684858,1,891,5427,2635,7171
74,19,27975.285179444832,0.07634798883701684,1,577,8403,1464,9290
75,29,86561.82053394888,0.20078864614279446,1,1056,6613,1564,7121
76,23,39545.33698944164,0.04845888590136403,1,249,6020,4380,10151
77,30,31127.201243036532,0.04147653204317721,1,19,5346,2058,7385
78,43,21504.511142260424,0.12043523133030973,1,507,9783,1799,11075
79,33,24822.511766236315,0.22763006378565792,0,1,0,0,-1
80,75,30127.56267978204,0.027966239765378275,0,88,0,0,-88
81,53,25570.60109110477,0.023809929859312382,1,359,19939,2252,21832
82,60,24941.433453580696,0.04785197819873348,1,450,7884,3008,10442
83,34,56218.84423489039,0.06732334657896649,1,351,6384,1747,7780
84,63,25850.23715225514,0.1220404683253885,0,24,0,0,-24
85,33,20327.199768407285,0.05975548650418337,1,1683,5759,1686,5762
86,30,23339.65680067533,0.13114084269854429,0,16,0,0,-16
87,58,23763.6564597109,0.034298988937836866,0,35,0,0,-35
88,43,23373.879362122207,0.0070916970129992485,0,66,0,0,-66
89,51,28054.76037830229,0.018748117009815574,1,198,12281,2045,14128
90,69,22186.9245341438,0.2083461853183184,1,321,5307,1536,6522
91,18,23935.789820698763,0.31782369528199583,0,29,0,0,-29
92,54,25160.005887180192,0.16262496001053597,1,641,5677,1461,6497
93,59,22129.426779030004,0.23184684844979025,1,933,5819,1621,6507
94,73,40284.42386223245,0.20633490964140724,0,38,0,0,-38
95,38,23522.225737473065,0.0646355685507021,1,1363,5717,1534,5888
96,47,55675.73446219323,0.01349311594054485,1,647,16093,1545,16991
97,75,31361.597597018277,0.014128771845347504,1,195,7664,1764,9233
98,64,44955.676924888045,0.016800350349770968,0,13,0,0,-13
99,55,23997.284691595713,0.12090494718381331,1,14,8441,3617,12044
100,46,21421.287045225166,0.08877684269863712,1,358,10247,2479,12368
101,20,20191.765257529758,0.04639910282207382,1,327,23916,1521,25110
102,70,28356.660583928853,0.23430926529927995,0,46,0,0,-46
103,24,20802.734016660965,0.09954083130457922,1,380,7445,2628,9693
104,74,21110.454932039633,0.2196195982680078,1,33,5978,3099,9044
